Timestamp,Precip,Temp_Max,Temp_Min,Temp_Mean,RelHum_Mean,SolRad,Wind_Max
2023-09-10,0.3,33,21,27,60.0,17,10
2023-09-11,0.1,33,21,26,62.5,20,10
2023-09-12,0.0,33,22,27,64.5,17,10
2023-09-13,0.0,35,24,28,62.0,19,10
2023-09-14,0.0,34,23,28,63.5,18,14
2023-09-15,0.2,34,22,27,64.0,20,12
2023-09-16,0.0,34,22,27,64.5,23,12
2023-09-17,0.0,35,22,27,64.0,22,12
2023-09-18,0.0,35,22,27,60.0,21,12
2023-09-19,0.0,34,21,27,62.0,23,12
2023-09-20,0.0,34,23,28,59.5,23,12
2023-09-21,0.1,36,23,28,60.0,21,12
2023-09-22,0.0,35,22,28,62.0,23,10
2023-09-23,0.0,35,22,28,57.5,23,12
2023-09-24,0.0,37,20,27,56.0,22,12
2023-09-25,1.0,35,22,27,61.5,20,10
2023-09-26,0.0,35,21,27,62.0,21,10
2023-09-27,0.0,35,22,28,61.0,21,10
2023-09-28,0.0,36,23,28,60.5,17,10
2023-09-29,0.2,36,23,28,61.0,20,12
2023-09-30,0.9,36,23,28,60.0,18,10
2023-10-01,0.0,36,23,29,57.5,21,10
2023-10-02,0.0,36,24,29,57.5,22,14
2023-10-03,1.0,36,23,27,58.0,18,10
2023-10-04,48.9,37,22,27,59.0,22,8
2023-10-05,0.9,34,23,28,65.0,23,6
2023-10-06,6.8,38,23,28,61.0,22,8
2023-10-07,1.3,35,22,28,61.5,23,10
2023-10-08,0.1,34,23,28,64.0,22,8
2023-10-09,11.3,35,22,26,59.0,21,10
2023-10-10,0.1,33,22,27,66.5,17,10
2023-10-11,0.0,34,25,28,61.0,18,10
2023-10-12,0.0,33,25,28,61.0,13,10
2023-10-13,0.0,35,23,28,61.0,22,10
2023-10-14,11.6,36,23,28,62.0,16,10
2023-10-15,22.2,37,21,27,61.5,22,10
2023-10-16,0.0,30,22,25,63.0,9,10
2023-10-17,0.0,30,19,24,59.5,14,12
2023-10-18,0.0,31,19,25,60.5,19,10
2023-10-19,0.0,31,20,25,59.0,14,10
2023-10-20,0.0,32,21,25,61.5,14,10
2023-10-21,0.0,33,21,26,63.5,15,10
2023-10-22,0.0,34,21,26,57.0,20,12
2023-10-23,0.0,35,21,26,62.5,17,10
2023-10-24,0.0,36,21,27,59.5,18,8
2023-10-25,0.0,33,23,27,64.5,16,12
2023-10-26,0.0,34,23,27,58.0,16,12
2023-10-27,0.1,34,23,27,63.5,17,14
2023-10-28,0.0,35,22,26,61.5,13,10
2023-10-29,0.0,31,22,26,61.0,10,10
2023-10-30,0.0,33,21,26,56.5,16,10
2023-10-31,0.4,25,20,23,74.0,4,5
2023-11-01,0.0,27,20,23,70.0,9,4
2023-11-02,1.3,28,20,23,71.5,7,5
2023-11-03,0.0,26,21,23,69.5,5,10
2023-11-04,1.0,27,21,24,72.0,8,4
2023-11-05,7.8,31,22,25,67.0,11,8
2023-11-06,4.1,32,22,25,67.0,14,8
2023-11-07,2.2,28,23,25,71.0,9,4
2023-11-08,0.0,29,22,25,71.5,9,8
2023-11-09,0.0,33,21,26,63.0,20,10
2023-11-10,0.0,33,19,26,62.0,18,10
2023-11-11,4.3,34,22,26,63.5,15,10
2023-11-12,0.5,33,22,26,63.0,16,16
2023-11-13,0.4,32,22,26,64.0,18,10
2023-11-14,0.0,31,22,26,66.5,13,10
2023-11-15,0.0,31,22,25,64.0,11,12
2023-11-16,0.0,32,22,26,61.0,14,10
2023-11-17,0.0,32,19,25,63.5,18,10
2023-11-18,0.0,30,19,24,62.5,12,8
2023-11-19,0.0,33,17,24,60.5,19,8
2023-11-20,0.0,34,17,26,59.5,19,8
2023-11-21,0.0,36,19,26,54.5,19,8
2023-11-22,0.0,31,22,25,59.0,10,10
2023-11-23,0.0,34,20,25,57.5,18,10
2023-11-24,0.0,35,20,26,56.5,18,12
2023-11-25,0.0,33,22,27,61.5,12,10
2023-11-26,0.0,36,22,27,55.5,18,10
2023-11-27,0.0,33,19,26,61.0,16,12
2023-11-28,0.0,28,21,25,66.0,7,12
2023-11-29,0.0,30,19,25,63.0,11,8
2023-11-30,0.0,28,22,23,64.5,3,4
