Timestamp,Precip,Temp_Max,Temp_Min,Temp_Mean,RelHum_Mean,SolRad,Wind_Max
2023-07-14,0.0,33,24,29,65.5,12,9
2023-07-15,0.0,33,22,27,65.0,23,8
2023-07-16,0.0,32,23,27,67.0,17,10
2023-07-17,0.0,33,22,27,66.0,23,10
2023-07-18,0.0,32,24,27,64.0,19,10
2023-07-19,0.0,32,23,27,64.0,16,12
2023-07-20,0.0,33,24,28,64.0,19,10
2023-07-21,0.0,33,23,28,64.0,20,10
2023-07-22,0.0,33,23,27,64.0,19,7
2023-07-23,7.6,34,21,26,62.5,22,8
2023-07-24,13.2,33,22,25,66.0,20,8
2023-07-25,0.0,32,22,27,58.0,23,10
2023-07-26,0.0,32,22,26,65.5,20,11
2023-07-27,0.0,34,21,27,60.5,24,8
2023-07-28,0.8,33,21,27,65.0,19,10
2023-07-29,14.9,32,22,25,71.5,12,7
2023-07-30,0.8,33,22,27,70.5,19,8
2023-07-31,0.3,33,22,27,65.5,23,9
2023-08-01,0.1,33,22,26,65.5,21,9
2023-08-02,11.7,32,21,25,69.5,17,8
2023-08-03,0.5,33,20,25,64.5,24,10
2023-08-04,0.0,33,22,27,67.5,25,10
2023-08-05,0.0,33,23,28,65.5,24,10
2023-08-06,0.0,33,21,27,66.0,22,12
2023-08-07,0.0,33,23,28,67.5,19,12
2023-08-08,0.0,34,23,28,65.0,21,10
2023-08-09,0.0,34,22,27,65.5,25,8
2023-08-10,0.0,36,22,28,63.0,24,10
2023-08-11,0.0,34,24,28,67.0,18,6
2023-08-12,0.0,35,23,28,61.5,24,12
2023-08-13,0.9,33,22,26,66.5,19,10
2023-08-14,0.0,34,22,27,66.0,21,12
2023-08-15,0.1,30,22,25,69.0,13,10
2023-08-16,0.0,34,22,27,66.0,22,10
2023-08-17,0.0,35,23,28,63.0,21,12
2023-08-18,0.0,34,24,28,59.0,23,12
2023-08-19,0.3,34,21,27,63.0,24,12
2023-08-20,0.0,34,21,26,63.0,16,10
2023-08-21,0.0,34,22,27,63.5,19,16
2023-08-22,0.0,34,23,27,62.5,17,10
2023-08-23,0.2,35,22,27,58.5,19,10
2023-08-24,0.0,32,23,27,64.5,13,8
2023-08-25,0.0,36,22,28,62.0,23,10
2023-08-26,5.4,37,23,28,59.5,22,10
2023-08-27,21.2,36,22,26,64.0,18,10
2023-08-28,1.6,32,22,26,68.5,13,7
2023-08-29,4.8,34,22,27,65.5,22,8
2023-08-30,0.0,35,22,27,63.5,21,8
2023-08-31,0.0,34,22,27,65.5,19,10
2023-09-01,3.1,34,23,27,65.0,21,10
2023-09-02,2.3,33,21,25,59.5,20,12
2023-09-03,0.0,33,22,26,66.0,19,12
2023-09-04,8.8,33,22,25,61.0,23,10
2023-09-05,4.6,33,21,25,66.5,19,4
2023-09-06,3.5,34,22,27,65.0,24,6
2023-09-07,0.0,34,23,27,65.5,22,10
2023-09-08,0.0,34,23,28,59.5,23,10
2023-09-09,0.0,34,22,27,63.5,22,12
