,Timestamp,Temp_Mean,Temp_Max,Temp_Min,Rain,Wind_Speed
0,2023-07-14,29.0,33.0,24.0,0.0,5
1,2023-07-15,27.0,33.0,22.0,0.0,4
2,2023-07-16,27.0,32.0,23.0,0.0,5
3,2023-07-17,27.0,33.0,22.0,0.0,6
4,2023-07-18,27.0,32.0,24.0,0.0,5
5,2023-07-19,27.0,32.0,23.0,0.0,6
6,2023-07-20,28.0,33.0,24.0,0.0,6
7,2023-07-21,28.0,33.0,23.0,0.0,6
8,2023-07-22,27.0,33.0,23.0,0.0,4
9,2023-07-23,26.0,34.0,21.0,7.6,4
10,2023-07-24,25.0,33.0,22.0,13.2,4
11,2023-07-25,27.0,32.0,22.0,0.0,5
12,2023-07-26,26.0,32.0,22.0,0.0,5
13,2023-07-27,27.0,34.0,21.0,0.0,4
14,2023-07-28,27.0,33.0,21.0,0.8,5
15,2023-07-29,25.0,32.0,22.0,14.9,4
16,2023-07-30,27.0,33.0,22.0,0.8,5
17,2023-07-31,27.0,33.0,22.0,0.3,5
18,2023-08-01,26.0,33.0,22.0,0.1,4
19,2023-08-02,25.0,32.0,21.0,11.7,2
20,2023-08-03,25.0,33.0,20.0,0.5,3
21,2023-08-04,27.0,33.0,22.0,0.0,3
22,2023-08-05,28.0,33.0,23.0,0.0,5
23,2023-08-06,27.0,33.0,21.0,0.0,4
24,2023-08-07,28.0,33.0,23.0,0.0,4
25,2023-08-08,28.0,34.0,23.0,0.0,4
26,2023-08-09,27.0,34.0,22.0,0.0,3
27,2023-08-10,28.0,36.0,22.0,0.0,3
28,2023-08-11,28.0,34.0,24.0,0.0,2
29,2023-08-12,28.0,35.0,23.0,0.0,5
30,2023-08-13,26.0,33.0,22.0,0.9,4
31,2023-08-14,27.0,34.0,22.0,0.0,5
32,2023-08-15,25.0,30.0,22.0,0.1,3
33,2023-08-16,27.0,34.0,22.0,0.0,4
34,2023-08-17,28.0,35.0,23.0,0.0,4
35,2023-08-18,28.0,34.0,24.0,0.0,6
36,2023-08-19,27.0,34.0,21.0,0.3,5
37,2023-08-20,26.0,34.0,21.0,0.0,4
38,2023-08-21,27.0,34.0,22.0,0.0,5
39,2023-08-22,27.0,34.0,23.0,0.0,4
40,2023-08-23,27.0,35.0,22.0,0.2,4
41,2023-08-24,27.0,32.0,23.0,0.0,3
42,2023-08-25,28.0,36.0,22.0,0.0,3
43,2023-08-26,28.0,37.0,23.0,5.4,3
44,2023-08-27,26.0,36.0,22.0,21.2,3
45,2023-08-28,26.0,32.0,22.0,1.6,3
46,2023-08-29,27.0,34.0,22.0,4.8,2
47,2023-08-30,27.0,35.0,22.0,0.0,1
48,2023-08-31,27.0,34.0,22.0,0.0,3
49,2023-09-01,27.0,34.0,23.0,3.1,4
50,2023-09-02,25.0,33.0,21.0,2.3,4
51,2023-09-03,26.0,33.0,22.0,0.0,4
52,2023-09-04,25.0,33.0,22.0,8.8,3
53,2023-09-05,25.0,33.0,21.0,4.6,1
54,2023-09-06,27.0,34.0,22.0,3.5,2
55,2023-09-07,27.0,34.0,23.0,0.0,3
56,2023-09-08,28.0,34.0,23.0,0.0,4
57,2023-09-09,27.0,34.0,22.0,0.0,4
58,2023-09-10,27.0,33.0,21.0,0.3,4
59,2023-09-11,26.0,33.0,21.0,0.1,5
60,2023-09-12,27.0,33.0,22.0,0.0,3
61,2023-09-13,28.0,35.0,24.0,0.0,4
62,2023-09-14,28.0,34.0,23.0,0.0,4
63,2023-09-15,27.0,34.0,22.0,0.2,4
64,2023-09-16,27.0,34.0,22.0,0.0,5
65,2023-09-17,27.0,35.0,22.0,0.0,4
66,2023-09-18,27.0,35.0,22.0,0.0,5
67,2023-09-19,27.0,34.0,21.0,0.0,4
68,2023-09-20,28.0,34.0,23.0,0.0,4
69,2023-09-21,28.0,36.0,23.0,0.1,4
70,2023-09-22,28.0,35.0,22.0,0.0,4
71,2023-09-23,28.0,35.0,22.0,0.0,4
72,2023-09-24,27.0,37.0,20.0,0.0,4
73,2023-09-25,27.0,35.0,22.0,1.0,3
74,2023-09-26,27.0,35.0,21.0,0.0,4
75,2023-09-27,28.0,35.0,22.0,0.0,4
76,2023-09-28,28.0,36.0,23.0,0.0,4
77,2023-09-29,28.0,36.0,23.0,0.2,4
78,2023-09-30,28.0,36.0,23.0,0.9,4
79,2023-10-01,29.0,36.0,23.0,0.0,4
80,2023-10-02,29.0,36.0,24.0,0.0,4
81,2023-10-03,27.0,36.0,23.0,1.0,3
82,2023-10-04,27.0,37.0,22.0,48.9,3
83,2023-10-05,28.0,34.0,23.0,0.9,2
84,2023-10-06,28.0,38.0,23.0,6.8,3
85,2023-10-07,28.0,35.0,22.0,1.3,2
86,2023-10-08,28.0,34.0,23.0,0.1,3
87,2023-10-09,26.0,35.0,22.0,11.3,3
88,2023-10-10,27.0,33.0,22.0,0.1,2
89,2023-10-11,28.0,34.0,25.0,0.0,5
90,2023-10-12,28.0,33.0,25.0,0.0,4
91,2023-10-13,28.0,35.0,23.0,0.0,4
92,2023-10-14,28.0,36.0,23.0,11.6,4
93,2023-10-15,27.0,37.0,21.0,22.2,3
94,2023-10-16,25.0,30.0,22.0,0.0,2
95,2023-10-17,24.0,30.0,19.0,0.0,5
96,2023-10-18,25.0,31.0,19.0,0.0,4
97,2023-10-19,25.0,31.0,20.0,0.0,4
98,2023-10-20,25.0,32.0,21.0,0.0,3
99,2023-10-21,26.0,33.0,21.0,0.0,3
100,2023-10-22,26.0,34.0,21.0,0.0,3
101,2023-10-23,26.0,35.0,21.0,0.0,4
102,2023-10-24,27.0,36.0,21.0,0.0,3
103,2023-10-25,27.0,33.0,23.0,0.0,5
104,2023-10-26,27.0,34.0,23.0,0.0,4
105,2023-10-27,27.0,34.0,23.0,0.1,5
106,2023-10-28,26.0,35.0,22.0,0.0,4
107,2023-10-29,26.0,31.0,22.0,0.0,3
108,2023-10-30,26.0,33.0,21.0,0.0,3
109,2023-10-31,23.0,25.0,20.0,0.4,2
110,2023-11-01,23.0,27.0,20.0,0.0,2
111,2023-11-02,23.0,28.0,20.0,1.3,3
112,2023-11-03,23.0,26.0,21.0,0.0,3
113,2023-11-04,24.0,27.0,21.0,1.0,2
114,2023-11-05,25.0,31.0,22.0,7.8,3
115,2023-11-06,25.0,32.0,22.0,4.1,2
116,2023-11-07,25.0,28.0,23.0,2.2,2
117,2023-11-08,25.0,29.0,22.0,0.0,2
118,2023-11-09,26.0,33.0,21.0,0.0,3
119,2023-11-10,26.0,33.0,19.0,0.0,3
120,2023-11-11,26.0,34.0,22.0,4.3,3
121,2023-11-12,26.0,33.0,22.0,0.5,5
122,2023-11-13,26.0,32.0,22.0,0.4,4
123,2023-11-14,26.0,31.0,22.0,0.0,3
124,2023-11-15,25.0,31.0,22.0,0.0,4
125,2023-11-16,26.0,32.0,22.0,0.0,4
126,2023-11-17,25.0,32.0,19.0,0.0,4
127,2023-11-18,24.0,30.0,19.0,0.0,3
128,2023-11-19,24.0,33.0,17.0,0.0,3
129,2023-11-20,26.0,34.0,17.0,0.0,3
130,2023-11-21,26.0,36.0,19.0,0.0,3
131,2023-11-22,25.0,31.0,22.0,0.0,3
132,2023-11-23,25.0,34.0,20.0,0.0,4
133,2023-11-24,26.0,35.0,20.0,0.0,4
134,2023-11-25,27.0,33.0,22.0,0.0,4
135,2023-11-26,27.0,36.0,22.0,0.0,4
136,2023-11-27,26.0,33.0,19.0,0.0,5
137,2023-11-28,25.0,28.0,21.0,0.0,5
138,2023-11-29,25.0,30.0,19.0,0.0,4
139,2023-11-30,26.0,34.0,21.0,0.0,4
140,2023-12-01,27.0,37.0,20.0,0.0,3
141,2023-12-02,27.0,37.0,22.0,0.0,3
142,2023-12-03,27.0,33.0,22.0,0.0,3
143,2023-12-04,27.0,34.0,21.0,0.0,5
144,2023-12-05,27.0,32.0,23.0,0.0,7
145,2023-12-06,25.0,28.0,21.0,1.9,3
146,2023-12-07,24.0,28.0,20.0,0.0,4
147,2023-12-08,25.0,31.0,21.0,0.0,5
148,2023-12-09,26.0,32.0,22.0,0.0,5
149,2023-12-10,27.0,34.0,20.0,0.0,5
150,2023-12-11,26.0,31.0,21.0,0.0,6
151,2023-12-12,24.0,31.0,20.0,0.0,5
152,2023-12-13,24.0,30.0,19.0,0.0,6
153,2023-12-14,25.0,31.0,20.0,0.0,5
154,2023-12-15,25.0,31.0,21.0,0.0,4
155,2023-12-16,25.0,33.0,19.0,0.0,4
156,2023-12-17,24.0,31.0,18.0,0.0,7
157,2023-12-18,21.0,28.0,14.0,0.0,6
158,2023-12-19,19.0,27.0,11.0,0.0,5
159,2023-12-20,20.0,28.0,11.0,0.0,6
160,2023-12-21,21.0,28.0,15.0,0.0,4
161,2023-12-22,22.0,27.0,19.0,0.0,5
162,2023-12-23,23.0,29.0,19.0,0.0,3
163,2023-12-24,26.0,36.0,20.0,0.0,3
164,2023-12-25,26.0,38.0,18.0,0.0,2
165,2023-12-26,27.0,36.0,19.0,0.0,3
166,2023-12-27,28.0,36.0,22.0,0.0,2
167,2023-12-28,26.0,35.0,19.0,0.0,4
168,2023-12-29,25.0,31.0,21.0,0.0,5
169,2023-12-30,24.0,29.0,21.0,0.0,6
170,2023-12-31,22.0,28.0,18.0,0.0,4
171,2024-01-01,23.0,29.0,20.0,0.1,4
172,2024-01-02,23.0,27.0,20.0,0.0,6
173,2024-01-03,25.0,37.0,19.0,0.0,3
174,2024-01-04,26.0,32.0,20.0,0.0,4
175,2024-01-05,26.0,36.0,18.0,0.0,2
176,2024-01-06,26.0,36.0,18.0,0.0,4
177,2024-01-07,24.0,33.0,17.0,0.0,4
178,2024-01-08,25.0,37.0,17.0,0.0,3
179,2024-01-09,26.0,36.0,16.0,0.0,3
180,2024-01-10,25.0,35.0,19.0,0.0,3
181,2024-01-11,26.0,36.0,18.0,0.0,2
182,2024-01-12,27.0,35.0,21.0,0.0,5
183,2024-01-13,26.0,34.0,18.0,0.0,3
